id,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,materialSampleID,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,identificationVerificationStatus,typeStatus,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks
767126359,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126359,BOMBUS24912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126360,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126360,BOMBUS24913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126361,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126361,BOMBUS24914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126362,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126362,BOMBUS24915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126363,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126363,BOMBUS24916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126364,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126364,BOMBUS24917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126365,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126365,BOMBUS24918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126366,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126366,BOMBUS24919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
767126367,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126367,BOMBUS2492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,8,15,,,,,,,,,,,,,USA,,New York,Essex,,Heart Lake,,,,,,,,,,,,,44.18244,-73.96805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus terricola,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,terricola,,,,Kirby 1837,,,,,
767126368,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767126368,BOMBUS24920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,8,3,,,,,,,,,,,,,USA,,Nebraska,Fillmore,,Bruning Dam,,,,,,,,,,,,,40.34861,-97.50972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus griseocollis,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,griseocollis,,,,(DeGeer 1773),,,,,
