ColonyID	Year	Species	TotalCells	GyneCells	HoneyPots
SO124	2015	vosnesenskii	27	0	5
SO073	2015	vosnesenskii	246	7	8
Q091	2015	vancouverensis	74	0	0
MC02	2015	occidentalis	226	1	3
SO180	2015	vosnesenskii	76	0	11
SO130	2015	vosnesenskii	272	1	11
MC07	2015	vancouverensis	41	0	1
SO039	2015	vancouverensis	12	0	8
LCR03	2015	vancouverensis	15	0	7
Q097	2015	vancouverensis	67	0	7
FC11	2015	vancouverensis	20	0	0
Q058	2015	vancouverensis	94	0	0
WA102	2015	vosnesenskii	301	3	1
SO170	2015	vosnesenskii	116	0	1
SO179	2015	vosnesenskii	72	0	0
SLC02	2015	appositus	21	0	3
SO077	2015	melanopygus	66	0	0
FC42	2015	vancouverensis	18	0	0
SO089	2015	vosnesenskii	268	0	1
SO082	2015	vosnesenskii	285	0	0
FC41	2015	vancouverensis	51	0	1
SO008	2015	vosnesenskii	275	19	11
Q079	2015	centralis	66	0	0
SO042	2015	vosnesenskii	142	0	1
Q092	2015	vosnesenskii	8	0	10
SO193	2015	vosnesenskii	705	0	0
SO137	2015	vosnesenskii	676	0	0
SO194	2015	vosnesenskii	81	0	0
GC036	2015	centralis	16	0	7
GC042	2015	huntii	677	15	2
GC146	2015	huntii	429	1	15
GC075	2015	huntii	329	17	12
NF019	2015	huntii	217	3	23
NF002	2015	huntii	628	18	2
GC050	2015	huntii	343	27	78
NF029	2015	huntii	261	13	17
NF015	2015	huntii	175	3	10
Q094	2015	vosnesenskii	185	5	0
NF007	2015	huntii	302	19	0
NF016	2015	huntii	219	0	0
HH004	2015	huntii	564	7	2
GC056	2015	huntii	622	46	8
MC01	2015	occidentalis	145	19	2
NF025	2015	huntii	714	78	63
GC047	2015	huntii	322	48	93
GC083	2015	huntii	403	37	34
CO045	2015	californicus	27	23	0
GC092	2015	huntii	539	51	1
GC073	2015	huntii	64	0	0
160019vos	2016	vosnesenskii	523	0	0
160042vos	2016	vosnesenskii	232	4	0
160052vos	2016	vosnesenskii	308	0	0
160061vos	2016	vosnesenskii	61	0	4
160064vos	2016	vosnesenskii	490	0	20
160069vos	2016	vosnesenskii	387	0	0
160078vos	2016	vosnesenskii	274	3	12
160089vos	2016	vosnesenskii	297	0	10
160102vos	2016	vosnesenskii	205	0	0
160126vos	2016	vosnesenskii	195	0	0
160131vos	2016	vosnesenskii	320	0	0
160137vos	2016	vosnesenskii	430	3	0
160141vos	2016	vosnesenskii	307	0	6
160149vos	2016	vosnesenskii	221	3	0
160157vos	2016	vosnesenskii	320	12	0
160175vos	2016	vosnesenskii	231	0	0
160457vos	2016	vosnesenskii	170	3	4
160462vos	2016	vosnesenskii	479	0	0
160499occ	2016	occidentalis	27	1	3
160547occ	2016	occidentalis	34	1	0
160557occ	2016	occidentalis	22	1	2
160562occ	2016	occidentalis	23	1	1
160582occ	2016	occidentalis	46	0	0
160599vos	2016	vosnesenskii	20	0	0
160601occ	2016	occidentalis	34	2	2
160612occ	2016	occidentalis	36	1	5
160616occ	2016	occidentalis	21	1	1
160616occ	2016	occidentalis	21	1	1
160625occ	2016	occidentalis	8	0	2
160625occ	2016	occidentalis	8	0	2
160633vos	2016	vosnesenskii	47	0	0
160633vos	2016	vosnesenskii	47	0	0
160634occ	2016	occidentalis	36	0	12
160634occ	2016	occidentalis	36	0	12
160637vos	2016	vosnesenskii	37	0	4
160637vos	2016	vosnesenskii	37	0	4
160641occ	2016	occidentalis	13	0	0
160645occ	2016	occidentalis	41	0	2
160646occ	2016	occidentalis	43	0	0
160647occ	2016	occidentalis	30	0	3
160652vos	2016	vosnesenskii	103	0	0
160660occ	2016	occidentalis	19	0	3
160664vos	2016	vosnesenskii	57	0	0
160669occ	2016	occidentalis	35	1	5
160674occ	2016	occidentalis	20	0	0
160052vos	2017	vosnesenskii	225	0	0
160061vos	2017	vosnesenskii	48	0	6
160064vos	2017	vosnesenskii	340	8	27
160078vos	2017	vosnesenskii	158	0	21
