no of specimens in sample,date,year,season,site,plot,site_plot,site_plot_year,sampling,plant species,start time,end time,vegetation cover,floral cover,height of vegetation (cm),Achillea millefolium,Agastache foeniculum,Calendula officinalis,Leucanthemum vulgare,Leucanthemum maximum,Cichorium intybus,Coronilla varia,Cosmos bipinnatus,Daucus carota,Linum perenne,Lobularia maritima,Lotus corniculatus,Melilotus officinalis,Origanum vulgare,Papaver rhoeas,Salvia officinalis,Trifolium incarnatum,Trifolium pratense,Trifolium repens,Viola cornuta,Asclepias tuberosa,Baptisia australis,Bidens aristosa,Chamaecrista fasciculata,Chamaecrista nictitans,Eupatorium perfoliatum ,Helenium flexuosum,Lespedeza virginica,Liatris pilosa,Lupinus perennis,Monarda punctata,Penstemon laevigatus,Pycnanthemum tenuifolium,Rudbeckia hirta,Rudbeckia triloba,Sisyrinchium angustifolium ,Solidago odora,Solidago nemoralis,Symphyotrichum laeve,Tradescantia virginiana,Verbena hastata,no bee,small green metallic bee,lrg green bee,bumble bee,lrg carpenter bee,small dark bee,honey bee,Megachile,Anthidium,Species,Sex,only genus level,bee specialist,specialized on,parasitic,nesting,status,non-native bee,other species characteristics
,9/21/2016,2016,late.season,A,non-native,A_NN,A_NN_2016,hand netting,Trifolium repens,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus,,1,NA,,NA,NA,,NA,
,9/21/2016,2016,late.season,B,non-native,B_NN,B_NN_2016,hand netting,Cosmos bipinnatus,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus,,1,NA,,NA,NA,,NA,
,9/21/2016,2016,late.season,C,non-native,C_NN,C_NN_2016,hand netting,Cosmos bipinnatus,15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus,,1,NA,,NA,NA,,NA,
,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large green bee,NA,1,NA,,NA,ground,,NA,
,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large green bee,NA,2,NA,,NA,ground,,NA,
,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Monarda punctata,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large green bee,NA,3,NA,,NA,ground,,NA,
,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Bidens aristosa,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large green bee,NA,4,NA,,NA,ground,,NA,
,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Bidens aristosa,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large green bee,NA,5,NA,,NA,ground,,NA,
,9/21/2016,2016,late.season,C,native,C_N,C_N_2016,hand netting,Bidens aristosa,15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large green bee,NA,6,NA,,NA,ground,,NA,
,9/21/2016,2016,late.season,A,native,A_N,A_N_2016,hand netting,Bidens aristosa,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
,9/21/2016,2016,late.season,A,native,A_N,A_N_2016,hand netting,Rudbeckia hirta,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apis mellifera,,0,0,,0,hive,,1,
,9/21/2016,2016,late.season,A,non-native,A_NN,A_NN_2016,hand netting,Cosmos bipinnatus,13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xylocopa virginica,,0,0,,0,wood,,0,
