id,institutionCode,collectionCode,basisOfRecord,occurrenceID,catalogNumber,recordedBy,year,month,day,country,stateProvince,county,locality,verbatimLatitude,verbatimLongitude,identifiedBy,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship
66908,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1055,,1965,8,11,Mexico,Mexico,,San Luis Potosi; Matehuala,23.65274,-100.64389,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66909,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1062,,1928,8,26,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66910,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1063,,1928,8,21,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66911,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1064,,1928,8,5,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66912,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1065,,1928,8,19,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66913,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1066,,1928,9,3,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66914,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1067,,1928,9,9,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66915,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1068,,1977,6,25,Mexico,Durango,,40 Km NE Durango,24.31803,-104.37297,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66916,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1069,,1962,8,7,Mexico,Mexico,,Yuriria,20.21254,-101.12658,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66917,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1070,,1972,2,13,Mexico,Mexico,,3 mi. SE San Bartolo; B.C.S. Mexico,19.79218,-99.16398,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66918,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1071,,1962,8,6,Mexico,Mexico,,Tzintzuntzan,19.62878,-101.57769,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66919,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1072,,1962,8,6,Mexico,Mexico,,Tzintzuntzan,19.62878,-101.57769,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66920,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1073,,1928,8,21,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66921,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1074,,1928,8,19,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66922,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1077,,1928,7,30,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66923,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1080,,1928,8,19,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66924,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1111,,1908,9,1,Mexico,Mexico,,Hermoallin; Sonora,,,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66925,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1191,,1984,4,15,Mexico,Mexico,,Nuevo Leon W. of Linares,24.85657,-99.58974,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66926,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1201,,1928,8,21,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66927,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1219,,1928,8,19,Mexico,Mexico,,Distrito Federal,19.24647,-99.10135,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66928,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS1348,,1928,7,13,Mexico,Mexico,,Oaxaca,17.06601,-96.71705,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66929,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS33485,,1930,9,13,Mexico,Quintana Roo,,Nansemond; Cypress Chapel,36.61848,-76.59272,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66930,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS33755,,1944,1,8,Mexico,Tamaulipas,,40 mi. S Matamoros,25.27261,-97.43743,,Bombus pensylvanicus,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,pensylvanicus,(DeGeer 1773)
66931,USDA-ARS,BBSL,PreservedSpecimen,,BOMBUS37213,,1933,6,19,Mexico,Quintana Roo,,,37.26954,-76.01521,,Bombus impatiens,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,impatiens,Cresson 1863
