id,type,modified,language,license,rightsHolder,accessRights,bibliographicCitation,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,materialSampleID,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,otherCatalogNumbers,associatedMedia,associatedReferences,associatedSequences,associatedTaxa,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,identificationVerificationStatus,typeStatus,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks
767110452,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110452,BOMBUS1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965,8,11,,,,,,,,,,,,,Mexico,,Mexico,,,San Luis Potosi; Matehuala,,,,,,,,,,,,,23.65274,-100.64389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110527,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110527,BOMBUS1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,26,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110538,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110538,BOMBUS1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,21,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110549,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110549,BOMBUS1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,5,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110560,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110560,BOMBUS1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,8,19,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110571,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110571,BOMBUS1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,9,3,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110582,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110582,BOMBUS1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928,9,9,,,,,,,,,,,,,Mexico,,Mexico,,,Distrito Federal,,,,,,,,,,,,,19.24647,-99.10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110593,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110593,BOMBUS1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,6,25,,,,,,,,,,,,,Mexico,,Durango,,,40 Km NE Durango,,,,,,,,,,,,,24.31803,-104.37297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110604,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110604,BOMBUS1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,8,7,,,,,,,,,,,,,Mexico,,Mexico,,,Yuriria,,,,,,,,,,,,,20.21254,-101.12658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
767110617,,,,,,,,,,,,USDA-ARS,BBSL,,,PreservedSpecimen,,,,,767110617,BOMBUS1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,2,13,,,,,,,,,,,,,Mexico,,Mexico,,,3 mi. SE San Bartolo; B.C.S. Mexico,,,,,,,,,,,,,19.79218,-99.16398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bombus pensylvanicus,,,,,,,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,pensylvanicus,,,,(DeGeer 1773),,,,,
