plant species,Species
Trifolium repens,Bombus
Cosmos bipinnatus,Bombus
Monarda punctata,large green bee
Bidens aristosa,large green bee
Bidens aristosa,Xylocopa virginica
Rudbeckia hirta,Apis mellifera
Cosmos bipinnatus,Xylocopa virginica
Cosmos bipinnatus,Apis mellifera
Monarda punctata,Xylocopa virginica
Rudbeckia triloba,small dark bee
Rudbeckia hirta,small dark bee
Cosmos bipinnatus,small dark bee
Bidens aristosa,small dark bee
Helenium flexuosum,small dark bee
Chamaecrista fasciculata + Eupatorium perfoliatum,small green bee
Rudbeckia hirta,small green bee
Trifolium incarnatum,Xylocopa virginica
Asclepias tuberosa,Xylocopa virginica
Daucus carota,Xylocopa virginica
Cichorium intybus,Xylocopa virginica
Helenium flexuosum,Xylocopa virginica
Rudbeckia triloba,Xylocopa virginica
Eupatorium perfoliatum,Xylocopa virginica
,Augochlorella aurata
,Halictus rubicundus
,Osmia collinsiae
,Lasioglossum coriaceum
,Osmia bucephala
,Andrena perplexa
,Lasioglossum cressonii
,Andrena nasonii
,NA
,Lasioglossum hitchensi
,Lasioglossum versatum
,Lasioglossum trigeminum
,Lasioglossum pilosum
,Eucera hamata
,Agapostemon virescens
,Lasioglossum tegulare
Papaver rhoeas,Halictus poeyi/ligatus
Papaver rhoeas,Lasioglossum tegulare
Papaver rhoeas,Lasioglossum pilosum
,Agapostemon texanus
,Halictus poeyi/ligatus
,Lasioglossum nelumbonis
,Nomada
,Augochlora pura
,Lasioglossum bruneri
,Andrena cressonii
,Lasioglossum subviridatum
,Agapostemon splendens
,Osmia pumila
,Nomada bidentate_group
,Nomada luteoloides
,Nomada imbricata
,Nomada articulata
,Andrena carlini
,Osmia atriventris
,Nomada denticulata
,Halictus confusus
,Nomada maculata
,Lasioglossum
,Anthidium oblongatum
,Calliopsis andreniformis
,Hylaeus affinis/modestus
,Ceratina calcarata
,Ceratina
,Megachile brevis
,Ceratina strenua
,Apis mellifera
,Lasioglossum coreopsis
,Xylocopa virginica
,Lasioglossum callidum
,Melissodes bimaculatus
,Melissodes desponsus
,Lasioglossum floridanum
Cosmos bipinnatus,NA
Cosmos bipinnatus,Lasioglossum tegulare
Cosmos bipinnatus,Halictus poeyi/ligatus
Cosmos bipinnatus,Melissodes desponsus
Cosmos bipinnatus,Ceratina calcarata
Rudbeckia hirta,Halictus poeyi/ligatus
Rudbeckia triloba,Lasioglossum
Cosmos bipinnatus,Svastra obliqua
Cosmos bipinnatus,Lasioglossum coreopsis
Rudbeckia triloba,Halictus poeyi/ligatus
Rudbeckia hirta,Lasioglossum coreopsis
Cosmos bipinnatus,Ceratina
Cosmos bipinnatus,Lasioglossum subviridatum
Rudbeckia hirta,Lasioglossum pilosum
,Andrena violae
,Ceratina mikmaqi
,Andrena banksi
